index,status,date,weekly,cumulative,weeklyrate,cumulativerate
344,C,200308,5,5,22,22
344,CP,200308,5,5,22,22
344,C,200309,5,5,22,22
344,CP,200309,5,5,22,22
413,C,200309,5,5,41,41
413,CP,200309,5,5,41,41
1091,C,200309,5,5,19,19
1091,CP,200309,5,5,19,19
1135,C,200309,5,5,19,19
1135,CP,200309,5,5,19,19
1198,C,200309,5,5,7,7
1198,CP,200309,5,5,7,7
1258,C,200309,5,5,4,4
1258,CP,200309,5,5,4,4
344,C,200310,5,5,22,22
344,CP,200310,5,5,22,22
413,C,200310,5,5,41,41
413,CP,200310,5,5,41,41
718,C,200310,5,5,5,5
718,CP,200310,5,5,5,5
1091,C,200310,5,5,19,19
1091,CP,200310,5,5,19,19
1135,C,200310,5,5,19,19
1135,CP,200310,5,5,19,19
1197,C,200310,5,5,5,5
1197,CP,200310,5,5,5,5
1198,C,200310,5,5,7,7
1198,CP,200310,5,5,7,7
1258,C,200310,5,5,4,4
1258,CP,200310,5,5,4,4
344,C,200311,5,5,22,22
344,CP,200311,5,5,22,22
413,C,200311,5,5,41,41
413,CP,200311,5,5,41,41
610,C,200311,5,5,39,39
610,CP,200311,5,5,39,39
718,C,200311,5,5,5,5
718,CP,200311,5,5,5,5
1045,C,200311,5,5,11,11
1045,CP,200311,5,5,11,11
1067,C,200311,5,5,8,8
1067,CP,200311,5,5,8,8
1090,C,200311,5,5,11,11
1090,CP,200311,5,5,11,11
1091,C,200311,5,5,19,19
1091,CP,200311,5,5,19,19
1135,C,200311,5,5,19,19
1135,CP,200311,5,5,19,19
1156,C,200311,5,5,7,7
1156,CP,200311,5,5,7,7
1157,C,200311,5,5,8,8
1157,CP,200311,5,5,8,8
1178,C,200311,5,5,6,6
1178,CP,200311,5,5,6,6
1197,C,200311,5,5,5,5
1197,CP,200311,5,5,5,5
1198,C,200311,5,5,7,7
1198,CP,200311,5,5,7,7
1258,C,200311,5,5,4,4
1258,CP,200311,5,5,4,4
1294,C,200311,5,5,2,2
1294,CP,200311,5,5,2,2
1363,C,200311,5,5,46,46
1363,CP,200311,5,5,46,46
253,C,200312,5,5,43,43
253,CP,200312,5,5,43,43
254,C,200312,5,5,7,7
254,CP,200312,5,5,7,7
344,C,200312,5,5,22,22
344,CP,200312,5,5,22,22
413,C,200312,5,5,41,41
413,CP,200312,5,5,41,41
523,C,200312,5,5,89,89
523,CP,200312,5,5,89,89
610,C,200312,5,5,39,39
610,CP,200312,5,5,39,39
718,C,200312,5,5,5,5
718,CP,200312,5,5,5,5
818,C,200312,5,5,82,82
818,CP,200312,5,5,82,82
1005,C,200312,5,5,16,16
1005,CP,200312,5,5,16,16
1045,C,200312,5,5,11,11
1045,CP,200312,5,5,11,11
1067,C,200312,5,5,8,8
1067,CP,200312,5,5,8,8
1090,C,200312,5,5,11,11
1090,CP,200312,5,5,11,11
1091,C,200312,5,5,19,19
1091,CP,200312,5,5,19,19
1112,C,200312,5,5,6,6
1112,CP,200312,5,5,6,6
1135,C,200312,5,5,19,19
1135,CP,200312,5,5,19,19
1156,C,200312,5,5,7,7
1156,CP,200312,5,5,7,7
1157,C,200312,5,5,8,8
1157,CP,200312,5,5,8,8
1175,C,200312,5,5,87,87
1175,CP,200312,5,5,87,87
1178,C,200312,5,5,6,6
1178,CP,200312,5,5,6,6
1197,C,200312,5,5,5,5
1197,CP,200312,5,5,5,5
1198,C,200312,5,5,7,7
1198,CP,200312,5,5,7,7
1215,C,200312,5,5,4,4
1215,CP,200312,5,5,4,4
1216,C,200312,5,5,5,5
1216,CP,200312,5,5,5,5
1258,C,200312,5,5,4,4
1258,CP,200312,5,5,4,4
1282,C,200312,5,5,5,5
1282,CP,200312,5,5,5,5
1283,C,200312,5,5,4,4
1283,CP,200312,5,5,4,4
1294,C,200312,5,5,2,2
1294,CP,200312,5,5,2,2
1363,C,200312,5,5,46,46
1363,CP,200312,5,5,46,46
181,C,200313,5,5,639,639
181,CP,200313,5,5,639,639
253,C,200313,5,5,43,43
253,CP,200313,5,5,43,43
254,C,200313,5,5,7,7
254,CP,200313,5,5,7,7
277,C,200313,5,5,8,8
277,CP,200313,5,5,8,8
299,C,200313,5,5,4,4
299,CP,200313,5,5,4,4
344,C,200313,5,5,22,22
344,CP,200313,5,5,22,22
413,C,200313,5,5,41,41
413,CP,200313,5,5,41,41
523,C,200313,5,5,89,89
523,CP,200313,5,5,89,89
610,C,200313,5,5,39,39
610,CP,200313,5,5,39,39
644,CP,200313,5,5,15,15
680,C,200313,5,5,75,75
680,CP,200313,5,5,75,75
718,C,200313,5,5,5,5
718,CP,200313,5,5,5,5
720,C,200313,5,5,52,52
720,CP,200313,5,5,52,52
818,C,200313,5,5,82,82
818,CP,200313,5,5,82,82
1005,C,200313,5,5,16,16
1005,CP,200313,5,5,16,16
1045,C,200313,5,5,11,11
1045,CP,200313,5,5,11,11
1067,C,200313,5,5,8,8
1067,CP,200313,5,5,8,8
1090,C,200313,5,5,11,11
1090,CP,200313,5,5,11,11
1091,C,200313,5,5,19,19
1091,CP,200313,5,5,19,19
1112,C,200313,5,5,6,6
1112,CP,200313,5,5,6,6
1115,C,200313,5,5,27,27
1115,CP,200313,5,5,27,27
1135,C,200313,5,5,19,19
1135,CP,200313,5,5,19,19
1156,C,200313,5,5,7,7
1156,CP,200313,5,5,7,7
1157,C,200313,5,5,8,8
1157,CP,200313,5,5,8,8
1175,C,200313,5,5,87,87
1175,CP,200313,5,5,87,87
1178,C,200313,5,5,6,6
1178,CP,200313,5,5,6,6
1194,C,200313,5,5,13,13
1194,CP,200313,5,5,13,13
1197,C,200313,5,5,5,5
1197,CP,200313,5,5,5,5
1198,C,200313,5,5,7,7
1198,CP,200313,5,5,7,7
1215,C,200313,5,5,4,4
1215,CP,200313,5,5,4,4
1216,C,200313,5,5,5,5
1216,CP,200313,5,5,5,5
1229,C,200313,5,5,5,5
1229,CP,200313,5,5,5,5
1231,C,200313,5,5,5,5
1231,CP,200313,5,5,5,5
1232,C,200313,5,5,9,9
1232,CP,200313,5,5,9,9
1244,C,200313,5,5,3,3
1244,CP,200313,5,5,3,3
1245,C,200313,5,5,7,7
1245,CP,200313,5,5,7,7
1258,C,200313,5,5,4,4
1258,CP,200313,5,5,4,4
1271,C,200313,5,5,3,3
1271,CP,200313,5,5,3,3
1282,C,200313,5,5,5,5
1282,CP,200313,5,5,5,5
1283,C,200313,5,5,4,4
1283,CP,200313,5,5,4,4
1294,C,200313,5,5,2,2
1294,CP,200313,5,5,2,2
1295,C,200313,5,5,4,4
1295,CP,200313,5,5,4,4
1306,C,200313,5,5,6,6
1306,CP,200313,5,5,6,6
1307,C,200313,5,5,10,10
1307,CP,200313,5,5,10,10
1308,C,200313,5,5,106,106
1308,CP,200313,5,5,106,106
